Country,Continent,CorruptionControl,GovEffectiveness,PoliticalStability,RegulatoryQuality,RuleLaw,VoiceAccountability
Morocco,Africa,-0.149775862693787,-0.0999571084976196,-0.285499393939972,-0.234967529773712,-0.144751846790314,-0.646655201911926
Mozambique,Africa,-0.865561306476593,-0.852751672267914,-1.0487722158432,-0.704601526260376,-1.01808142662048,-0.393606185913086
Myanmar,Asia,-0.64617395401001,-0.982821881771088,-0.633574187755585,-0.868379533290863,-0.986353039741516,-0.854827165603638
Namibia,Africa,0.371125638484955,0.171074151992798,0.742925822734833,-0.135981813073158,0.39364019036293,0.612627923488617
Nauru,Oceania,-0.468252688646317,-0.692472398281097,0.550383031368256,-0.382236868143082,-0.804049372673035,0.516161918640137
Nepal,Asia,-0.75966876745224,-0.811091661453247,-0.793663620948792,-0.764709949493408,-0.838581562042236,-0.233582049608231
Netherlands,Europe,1.95099556446075,1.84130799770355,0.889827311038971,1.97630953788757,1.89392244815826,1.47965395450592
New Zealand,Oceania,2.29520463943481,1.85764491558075,1.49012064933777,2.03840160369873,1.92702102661133,1.44415950775146
Nicaragua,North America,-0.887811601161957,-0.697707831859589,-0.172709912061691,-0.506705522537231,-0.603669703006744,-0.627501726150513
Niger,Africa,-0.64447283744812,-0.592877626419067,-1.08397245407104,-0.671375393867493,-0.641173243522644,-0.339003443717957
Nigeria,Africa,-1.04237186908722,-1.08738160133362,-1.85385489463806,-0.918940484523773,-1.05401647090912,-0.295079112052917
Norway,Europe,2.19934129714966,1.88285648822784,1.16653871536255,1.69804847240448,2.02046728134155,1.58164060115814
Oman,Asia,0.371905535459518,0.190203636884689,0.801888525485992,0.610592663288116,0.434241831302643,-1.107426404953
Pakistan,Asia,-0.857112288475037,-0.637140572071075,-2.46728849411011,-0.639669179916382,-0.829703986644745,-0.68809312582016
Palau,Oceania,-0.468252688646317,-0.40572988986969,0.927389860153198,-0.176109254360199,0.317480951547623,1.22538614273071
Panama,North America,-0.486516952514648,0.185663864016533,0.434863179922104,0.360636383295059,0.0250359326601028,0.528443813323975
